2011. január 1.,,,2011. január 1.,2011. január 1.,,,2011. január 1.,,2011. január 1.,,,,2011. január 1.,,,,,,,,,,,,
Helység,,,Megye megnevezése ,Kistérség ,,,Körjegyzőség,,Terület  (hektár),Lakó-népesség,Lakások száma,Becsült terület-adatokkal,Kisebbségi önkormányzat,,,,,,,,,,,,
megnevezése,KSH kódja,jogállása,,kódja,neve,székhelye,kódja,székhelye,,,,,bolgár  ,cigány  ,görög  ,horvát  ,lengyel  ,német  ,örmény  ,román  ,ruszin  ,szerb  ,szlovák  ,szlovén  ,ukrán  
Almásháza,23384,község,Zala,5006,Zalaszentgróti,Zalaszentgrót,6,Zalacsány,498,66,24,,,,,,,,,,,,,,
Almáskamarás,29595,község,Békés,3402,Mezőkovácsházai,Mezőkovácsháza,6,Kunágota,1475,831,465,,,,,,,1,,,,,,,
Almáskeresztúr,20376,község,Baranya,3206,Szigetvári,Szigetvár,6,Mozsgó,1303,91,54,,,,,,,,,,,,,,
Álmosd,27641,község,Hajdú-Bihar,3908,Derecske-Létavértesi,Létavértes,1,–,3413,1550,731,,,1,,,,,,,,,,,
Alsóberecki,20482,község,Borsod-Abaúj-Zemplén,3513,Bodrogközi,Cigánd,4,Helyben,686,735,288,,,,,,,,,,,,,,
Alsóbogát,34184,község,Somogy,4404,Kaposvári,Kaposvár,6,Somogyjád,1201,259,96,,,,,,,,,,,,,,
Alsódobsza,19664,község,Borsod-Abaúj-Zemplén,3509,Szerencsi,Szerencs,4,Helyben,1068,316,164,,,,,,,,,,,,,,
Alsógagy,14429,község,Borsod-Abaúj-Zemplén,3503,Encsi,Encs,6,Felsőgagy,628,96,56,,,,,,,,,,,,,,
Alsómocsolád,17385,község,Baranya,3203,Sásdi,Sásd,4,Helyben,1300,337,140,,,1,,,,1,,,,,,,
Alsónána,29665,község,Tolna,4704,Szekszárdi,Szekszárd,4,Helyben,1314,687,280,,,,,,,,,,,,,,
Alsónémedi,23199,nagyközség,Pest,4312,Gyáli,Gyál,1,–,4907,5186,2075,,,,,,,,1,,,,,,
Alsónemesapáti,19512,község,Zala,5005,Zalaegerszegi,Zalaegerszeg,4,Helyben,1451,721,289,,,1,,,,,,,,,,,
Alsónyék,11563,község,Tolna,4704,Szekszárdi,Szekszárd,6,Bátaszék,3204,754,307,,,,,,,,,,,,,,
Alsóörs,30526,község,Veszprém,4902,Balatonalmádi,Balatonalmádi,1,–,3334,1401,683,,,,,,,,,,,,,,
Alsópáhok,32081,község,Zala,5007,Hévízi,Hévíz,1,–,1802,1315,599,,,,,,,,,,,,,,
