Település,Megye,Település típusa,Szavazókör db,Névjegyzékben szereplő választópolgárok száma,Megjelentek száma,Bélyegző nélküli szavazólapok száma,Lebélyegzett szavazólapok száma,"Érvénytelen, lebélyegzett szavazólapok száma",Érvényes szavazólapok száma,MSZP-PÁRBESZÉD,MKKP,JOBBIK,FIDESZ,MOMENTUM,DK,MI HAZÁNK,MUNKÁSPÁRT,LMP
Oszlár,Borsod-Abaúj-Zemplén,Község,1,305,119,0,119,0,119,5,5,26,51,7,18,6,1,0
Ózd,Borsod-Abaúj-Zemplén,Város,37,26901,8248,1,8247,42,8205,651,128,1287,3815,294,1513,329,95,93
Pácin,Borsod-Abaúj-Zemplén,Község,1,1136,271,0,271,1,270,14,3,26,152,6,41,22,1,5
Pálháza,Borsod-Abaúj-Zemplén,Város,1,902,343,0,343,6,337,28,6,24,183,13,64,15,0,4
Pamlény,Borsod-Abaúj-Zemplén,Község,1,38,19,0,19,0,19,2,0,2,9,0,5,0,0,1
Pányok,Borsod-Abaúj-Zemplén,Község,1,51,27,0,27,0,27,0,1,0,25,0,0,1,0,0
Parasznya,Borsod-Abaúj-Zemplén,Község,1,957,321,0,321,1,320,30,4,38,153,17,67,9,0,2
Pere,Borsod-Abaúj-Zemplén,Község,1,237,65,0,65,0,65,1,0,7,43,0,10,4,0,0
Perecse,Borsod-Abaúj-Zemplén,Község,1,23,14,0,14,0,14,0,0,1,12,0,1,0,0,0
Perkupa,Borsod-Abaúj-Zemplén,Község,1,655,227,1,226,1,225,12,2,28,137,10,22,11,2,1
Prügy,Borsod-Abaúj-Zemplén,Község,2,1862,735,0,735,9,726,33,8,56,547,10,49,19,1,3
Pusztafalu,Borsod-Abaúj-Zemplén,Község,1,189,101,0,101,1,100,2,0,7,76,0,12,1,1,1
Pusztaradvány,Borsod-Abaúj-Zemplén,Község,1,146,42,0,42,1,41,0,0,2,36,2,1,0,0,0
Putnok,Borsod-Abaúj-Zemplén,Város,8,4956,2033,0,2033,30,2003,85,29,231,1154,72,296,102,11,23
Radostyán,Borsod-Abaúj-Zemplén,Község,1,477,163,0,163,0,163,15,4,17,75,9,31,8,2,2
Ragály,Borsod-Abaúj-Zemplén,Község,1,498,141,0,141,0,141,13,0,13,79,11,22,2,1,0
Rakaca,Borsod-Abaúj-Zemplén,Község,1,581,158,0,155,11,144,0,0,0,136,3,4,0,0,1
Rakacaszend,Borsod-Abaúj-Zemplén,Község,1,258,126,0,126,1,125,3,0,2,114,0,3,3,0,0
Rásonysápberencs,Borsod-Abaúj-Zemplén,Község,1,413,140,0,140,0,140,9,1,17,86,3,7,14,0,3
Rátka,Borsod-Abaúj-Zemplén,Község,1,775,348,0,348,2,346,15,10,51,163,28,49,21,3,6
Regéc,Borsod-Abaúj-Zemplén,Község,1,76,49,0,49,0,49,1,4,1,31,1,5,6,0,0
Répáshuta,Borsod-Abaúj-Zemplén,Község,1,399,216,0,216,0,216,14,3,30,111,16,23,11,6,2
Révleányvár,Borsod-Abaúj-Zemplén,Község,1,385,122,0,122,1,121,1,0,8,94,1,10,7,0,0
Ricse,Borsod-Abaúj-Zemplén,Község,2,1281,297,0,297,3,294,69,5,20,135,9,37,15,1,3
Rudabánya,Borsod-Abaúj-Zemplén,Város,3,1976,564,0,564,2,562,28,5,76,310,23,82,27,5,6
Rudolftelep,Borsod-Abaúj-Zemplén,Község,1,580,118,0,118,1,117,14,5,18,34,1,32,11,1,1
Sajóbábony,Borsod-Abaúj-Zemplén,Város,3,2139,730,0,730,5,725,62,11,88,357,28,132,39,4,4
Sajóecseg,Borsod-Abaúj-Zemplén,Község,1,863,346,0,346,1,345,17,5,45,187,14,45,29,1,2
Sajógalgóc,Borsod-Abaúj-Zemplén,Község,1,288,115,0,115,1,114,11,2,9,56,15,10,11,0,0
Sajóhídvég,Borsod-Abaúj-Zemplén,Község,1,772,252,0,252,3,249,15,2,32,161,5,20,13,0,1
Sajóivánka,Borsod-Abaúj-Zemplén,Község,1,525,218,0,218,4,214,15,6,44,68,23,35,15,2,6
Sajókápolna,Borsod-Abaúj-Zemplén,Község,1,338,146,0,146,3,143,7,1,18,68,8,21,8,6,6
Sajókaza,Borsod-Abaúj-Zemplén,Község,3,2175,594,0,594,10,584,34,8,65,344,20,76,27,0,10
Sajókeresztúr,Borsod-Abaúj-Zemplén,Község,1,1254,556,0,556,6,550,36,13,103,245,29,98,19,2,5
Sajólád,Borsod-Abaúj-Zemplén,Község,2,2294,655,0,655,2,653,28,10,124,346,28,77,33,2,5
Sajólászlófalva,Borsod-Abaúj-Zemplén,Község,1,349,124,0,124,1,123,6,1,16,64,7,17,6,2,4
Sajómercse,Borsod-Abaúj-Zemplén,Község,1,171,62,0,62,2,60,4,0,6,38,1,4,5,0,2
Sajónémeti,Borsod-Abaúj-Zemplén,Község,1,359,114,0,114,0,114,4,0,20,74,2,13,1,0,0
Sajóörös,Borsod-Abaúj-Zemplén,Község,1,1152,505,0,505,1,504,42,11,73,221,42,72,31,4,8
Sajópálfala,Borsod-Abaúj-Zemplén,Község,1,607,252,0,252,3,249,17,1,26,155,14,24,6,0,6
Sajópetri,Borsod-Abaúj-Zemplén,Község,1,1160,363,0,363,3,360,15,9,67,183,15,41,23,2,5
Sajópüspöki,Borsod-Abaúj-Zemplén,Község,1,418,133,0,133,0,133,7,4,27,69,3,16,3,1,3
Sajósenye,Borsod-Abaúj-Zemplén,Község,1,295,141,0,141,2,139,6,0,16,88,3,15,9,0,2
Sajószentpéter,Borsod-Abaúj-Zemplén,Város,10,9724,2977,1,2976,19,2957,245,40,430,1220,179,680,96,13,54
Sajószöged,Borsod-Abaúj-Zemplén,Község,2,1873,755,0,755,2,753,74,14,84,338,46,143,33,2,19
Sajóvámos,Borsod-Abaúj-Zemplén,Község,2,1722,619,1,618,2,616,23,11,80,362,21,78,27,3,11
Sajóvelezd,Borsod-Abaúj-Zemplén,Község,1,619,210,0,210,1,209,21,4,37,102,7,17,19,0,2
Sály,Borsod-Abaúj-Zemplén,Község,1,1253,452,0,452,4,448,13,2,35,296,1,31,70,0,0
Sárazsadány,Borsod-Abaúj-Zemplén,Község,1,197,92,0,92,0,92,7,0,20,55,2,6,0,1,1
Sárospatak,Borsod-Abaúj-Zemplén,Város,17,10003,3963,0,3963,21,3942,300,88,324,2059,294,654,129,16,78
Sáta,Borsod-Abaúj-Zemplén,Község,1,899,273,0,273,4,269,13,3,38,157,4,34,16,1,3
Sátoraljaújhely,Borsod-Abaúj-Zemplén,Város,19,12039,4802,0,4801,29,4772,370,90,336,2455,271,984,183,21,62
Selyeb,Borsod-Abaúj-Zemplén,Község,1,340,128,0,128,3,125,4,1,7,100,2,8,2,0,1
Semjén,Borsod-Abaúj-Zemplén,Község,1,379,68,0,68,5,63,4,0,11,36,2,8,2,0,0
Serényfalva,Borsod-Abaúj-Zemplén,Község,1,810,244,0,244,1,243,23,4,62,85,7,43,16,2,1
Sima,Borsod-Abaúj-Zemplén,Község,1,30,19,0,19,0,19,1,0,4,9,2,2,0,1,0
Sóstófalva,Borsod-Abaúj-Zemplén,Község,1,179,97,0,97,0,97,2,0,28,54,0,8,2,2,1
Szakácsi,Borsod-Abaúj-Zemplén,Község,1,98,59,0,59,0,59,0,1,0,58,0,0,0,0,0
Szakáld,Borsod-Abaúj-Zemplén,Község,1,377,190,0,190,0,190,8,5,37,110,2,11,11,2,4
Szalaszend,Borsod-Abaúj-Zemplén,Község,1,762,145,0,145,1,144,20,2,28,67,6,17,1,3,0
Szalonna,Borsod-Abaúj-Zemplén,Község,1,733,234,0,234,2,232,18,3,19,151,9,25,6,0,1
Szászfa,Borsod-Abaúj-Zemplén,Község,1,92,26,0,26,0,26,5,2,3,11,2,3,0,0,0
Szegi,Borsod-Abaúj-Zemplén,Község,1,256,100,0,100,0,100,3,0,13,60,8,11,4,0,1
Szegilong,Borsod-Abaúj-Zemplén,Község,1,199,87,0,87,1,86,4,3,8,50,0,17,4,0,0
Szemere,Borsod-Abaúj-Zemplén,Község,1,270,54,0,54,0,54,3,1,4,31,0,10,2,2,1
Szendrő,Borsod-Abaúj-Zemplén,Város,4,2961,851,0,851,3,848,57,7,89,530,37,85,39,3,1
Szendrőlád,Borsod-Abaúj-Zemplén,Község,1,1324,188,0,188,0,188,11,0,6,140,8,20,2,0,1
Szentistván,Borsod-Abaúj-Zemplén,Község,3,1954,930,0,930,12,918,49,12,82,519,39,142,60,1,14
Szentistvánbaksa,Borsod-Abaúj-Zemplén,Község,1,215,109,0,109,0,109,4,1,17,62,5,12,6,1,1
Szerencs,Borsod-Abaúj-Zemplén,Város,10,7625,3412,0,3412,17,3395,219,75,346,1727,224,603,123,19,59
Szikszó,Borsod-Abaúj-Zemplén,Város,7,4454,1717,0,1717,16,1701,123,26,192,947,77,231,73,10,22
Szin,Borsod-Abaúj-Zemplén,Község,1,549,292,0,292,2,290,4,1,12,263,3,5,1,0,1
Szinpetri,Borsod-Abaúj-Zemplén,Község,1,178,84,0,84,0,84,0,4,15,53,1,7,3,0,1
Szirmabesenyő,Borsod-Abaúj-Zemplén,Község,4,3557,1566,0,1566,4,1562,107,28,292,646,113,260,66,13,37
Szomolya,Borsod-Abaúj-Zemplén,Község,1,1236,497,0,497,6,491,35,10,48,261,41,55,29,3,9
Szögliget,Borsod-Abaúj-Zemplén,Község,1,538,251,0,251,2,249,6,5,32,168,6,24,7,0,1
Szőlősardó,Borsod-Abaúj-Zemplén,Község,1,97,60,0,60,0,60,6,0,10,31,1,9,0,1,2
Szuhafő,Borsod-Abaúj-Zemplén,Község,1,127,80,0,80,0,80,7,1,12,46,4,7,0,0,3
Szuhakálló,Borsod-Abaúj-Zemplén,Község,1,768,261,0,261,0,261,23,7,37,125,11,43,10,4,1
Szuhogy,Borsod-Abaúj-Zemplén,Község,1,862,259,0,259,1,258,15,5,29,162,8,22,16,0,1
Taktabáj,Borsod-Abaúj-Zemplén,Község,1,402,152,0,152,1,151,6,0,10,124,0,6,2,0,3
Taktaharkány,Borsod-Abaúj-Zemplén,Község,4,2773,1112,0,1112,13,1099,34,22,109,703,31,141,42,6,11
Taktakenéz,Borsod-Abaúj-Zemplén,Község,1,854,254,0,254,2,252,10,2,20,184,3,28,3,1,1
Taktaszada,Borsod-Abaúj-Zemplén,Község,2,1450,431,0,431,1,430,14,8,44,307,11,33,10,1,2
Tállya,Borsod-Abaúj-Zemplén,Község,2,1478,485,0,484,9,475,39,8,46,208,24,107,20,6,17
Tarcal,Borsod-Abaúj-Zemplén,Község,2,2265,762,0,762,6,756,39,10,117,400,38,111,21,7,13
Tard,Borsod-Abaúj-Zemplén,Község,1,961,451,0,451,7,444,11,2,35,312,23,40,15,1,5
Tardona,Borsod-Abaúj-Zemplén,Község,1,842,305,0,305,0,305,14,9,54,145,17,47,13,2,4
Telkibánya,Borsod-Abaúj-Zemplén,Község,1,489,197,0,197,3,194,13,9,14,124,8,20,4,1,1
Teresztenye,Borsod-Abaúj-Zemplén,Község,1,23,15,0,15,0,15,1,0,1,8,1,3,0,0,1
Tibolddaróc,Borsod-Abaúj-Zemplén,Község,1,1102,333,0,333,0,333,15,10,22,195,14,50,22,3,2
Tiszabábolna,Borsod-Abaúj-Zemplén,Község,1,287,142,0,142,2,140,4,1,12,105,0,14,2,1,1
Tiszacsermely,Borsod-Abaúj-Zemplén,Község,1,392,84,0,84,0,84,1,1,13,57,8,3,1,0,0
Tiszadorogma,Borsod-Abaúj-Zemplén,Község,1,335,182,0,182,0,182,9,1,26,119,7,10,7,3,0
Tiszakarád,Borsod-Abaúj-Zemplén,Község,3,1827,332,0,331,1,330,21,2,37,226,5,30,8,0,1
Tiszakeszi,Borsod-Abaúj-Zemplén,Község,3,2030,670,0,670,5,665,31,8,78,415,39,57,29,4,4
Tiszaladány,Borsod-Abaúj-Zemplén,Község,1,513,232,0,232,0,232,16,1,26,162,6,14,6,0,1
Tiszalúc,Borsod-Abaúj-Zemplén,Község,5,3930,926,0,926,6,920,43,14,147,477,49,127,47,4,12
Tiszapalkonya,Borsod-Abaúj-Zemplén,Község,1,1168,357,0,357,1,356,22,4,54,185,11,62,10,5,3
Tiszatardos,Borsod-Abaúj-Zemplén,Község,1,178,93,0,93,1,92,2,2,8,72,0,5,2,0,1
Tiszatarján,Borsod-Abaúj-Zemplén,Község,1,1047,379,0,379,5,374,13,4,44,264,11,26,9,1,2
Tiszaújváros,Borsod-Abaúj-Zemplén,Város,17,13451,5620,0,5618,20,5598,874,120,525,2066,514,1170,173,35,121
Tiszavalk,Borsod-Abaúj-Zemplén,Község,1,267,149,0,149,1,148,8,2,13,88,6,21,6,1,3
Tokaj,Borsod-Abaúj-Zemplén,Város,5,3171,1402,0,1402,12,1390,84,30,112,729,118,219,55,12,31
Tolcsva,Borsod-Abaúj-Zemplén,Község,2,1430,544,0,544,2,542,35,11,56,295,27,84,19,2,13
Tomor,Borsod-Abaúj-Zemplén,Község,1,183,96,0,96,2,94,3,1,3,75,6,3,1,1,1
Tornabarakony,Borsod-Abaúj-Zemplén,Község,1,19,14,0,14,0,14,2,0,0,4,1,5,0,0,2
Tornakápolna,Borsod-Abaúj-Zemplén,Község,1,23,14,0,14,1,13,1,0,3,8,0,0,1,0,0
Tornanádaska,Borsod-Abaúj-Zemplén,Község,1,393,258,0,258,4,254,2,0,1,247,0,3,0,1,0
Tornaszentandrás,Borsod-Abaúj-Zemplén,Község,1,164,66,0,66,0,66,10,0,5,36,2,9,4,0,0
Tornaszentjakab,Borsod-Abaúj-Zemplén,Község,1,154,77,0,77,0,77,3,0,13,53,0,8,0,0,0
Tornyosnémeti,Borsod-Abaúj-Zemplén,Község,1,321,125,0,125,0,125,5,2,12,97,0,7,1,0,1
Trizs,Borsod-Abaúj-Zemplén,Község,1,177,96,0,96,0,96,2,1,9,49,2,19,9,3,2
Újcsanálos,Borsod-Abaúj-Zemplén,Község,1,684,202,0,202,0,202,3,4,42,137,2,9,3,1,1
Uppony,Borsod-Abaúj-Zemplén,Község,1,255,107,0,107,1,106,10,3,13,46,4,25,4,0,1
Vadna,Borsod-Abaúj-Zemplén,Község,1,502,161,0,161,0,161,11,2,23,72,10,31,9,1,2
Vágáshuta,Borsod-Abaúj-Zemplén,Község,1,89,47,0,47,1,46,4,1,4,30,2,3,0,1,1
Vajdácska,Borsod-Abaúj-Zemplén,Község,1,962,276,0,276,3,273,11,2,39,169,2,32,10,1,7
Vámosújfalu,Borsod-Abaúj-Zemplén,Község,1,611,303,0,303,1,302,18,3,45,180,5,31,14,0,6
Varbó,Borsod-Abaúj-Zemplén,Község,1,920,384,0,384,0,384,41,14,49,171,28,51,23,0,7
Varbóc,Borsod-Abaúj-Zemplén,Község,1,55,36,0,36,0,36,2,2,4,21,2,1,4,0,0
Vatta,Borsod-Abaúj-Zemplén,Község,1,700,297,0,297,1,296,21,4,35,171,17,32,13,1,2
Vilmány,Borsod-Abaúj-Zemplén,Község,1,960,228,0,228,6,222,18,5,19,144,6,23,4,0,3
Vilyvitány,Borsod-Abaúj-Zemplén,Község,1,217,80,0,80,0,80,3,0,14,52,1,5,4,0,1
Viss,Borsod-Abaúj-Zemplén,Község,1,482,114,0,114,0,114,7,2,11,69,1,19,2,1,2
Viszló,Borsod-Abaúj-Zemplén,Község,1,61,41,0,41,0,41,1,2,1,31,0,0,3,1,2
Vizsoly,Borsod-Abaúj-Zemplén,Község,1,628,183,0,183,0,183,5,1,12,135,2,17,9,1,1
Zádorfalva,Borsod-Abaúj-Zemplén,Község,1,349,103,0,103,2,101,9,1,13,62,2,10,2,0,2
Zalkod,Borsod-Abaúj-Zemplén,Község,1,186,85,0,85,2,83,6,0,4,48,1,24,0,0,0
Zemplénagárd,Borsod-Abaúj-Zemplén,Község,1,548,154,0,154,1,153,7,3,13,113,5,7,4,1,0
Ziliz,Borsod-Abaúj-Zemplén,Község,1,305,126,0,126,1,125,5,2,32,58,2,17,4,1,4
Zsujta,Borsod-Abaúj-Zemplén,Község,1,140,59,0,59,0,59,3,0,5,42,0,5,0,1,3
Zubogy,Borsod-Abaúj-Zemplén,Község,1,431,157,0,157,2,155,12,4,23,64,3,35,8,1,5
Algyő,Csongrád,Község,4,4425,1782,0,1782,13,1769,173,51,108,823,188,285,83,7,51
Ambrózfalva,Csongrád,Község,1,375,169,0,169,3,166,21,2,24,81,8,20,7,2,1
Apátfalva,Csongrád,Község,3,2392,959,0,959,6,953,48,20,55,667,35,57,46,6,19
Árpádhalom,Csongrád,Község,1,399,152,0,152,0,152,4,2,15,94,2,24,6,1,4
Ásotthalom,Csongrád,Község,5,3237,1142,0,1142,13,1129,39,17,19,590,36,103,309,4,12
Baks,Csongrád,Község,2,1576,398,0,398,5,393,22,4,48,215,18,59,21,2,4
Balástya,Csongrád,Község,4,2720,964,0,964,3,961,44,22,33,640,65,90,46,3,18
Bordány,Csongrád,Község,3,2635,974,0,974,6,968,85,32,17,586,82,84,59,0,23
Csanádalberti,Csongrád,Község,1,353,180,0,180,1,179,7,3,4,127,8,22,5,1,2
Csanádpalota,Csongrád,Város,3,2286,921,0,921,5,916,51,12,51,605,43,100,34,8,12
Csanytelek,Csongrád,Község,3,2129,651,0,651,3,648,24,8,46,415,41,76,32,1,5
Csengele,Csongrád,Község,2,1513,675,0,674,8,666,16,12,43,496,20,31,26,5,17
Csongrád,Csongrád,Város,16,13424,5405,0,5405,40,5365,311,121,335,3140,335,687,314,27,95
Derekegyház,Csongrád,Község,3,1190,455,0,455,2,453,20,11,41,229,15,88,34,4,11
Deszk,Csongrád,Község,4,3065,1320,0,1320,6,1314,209,38,73,586,140,165,65,2,36
Dóc,Csongrád,Község,2,589,224,0,224,3,221,8,6,10,149,4,16,14,2,12
Domaszék,Csongrád,Község,4,4032,1638,0,1638,8,1630,116,39,61,1028,99,172,83,5,27
Eperjes,Csongrád,Község,1,409,148,0,148,2,146,4,2,8,98,8,16,9,1,0
Fábiánsebestyén,Csongrád,Község,3,1624,600,0,600,3,597,37,12,46,320,24,77,71,6,4
Felgyő,Csongrád,Község,2,1011,394,0,394,6,388,12,7,26,250,15,40,25,1,12
Ferencszállás,Csongrád,Község,1,524,215,0,215,2,213,34,6,16,99,8,24,18,2,6
Forráskút,Csongrád,Község,2,1691,717,0,717,5,712,32,17,28,483,45,54,34,1,18
Földeák,Csongrád,Község,3,2509,1124,0,1124,10,1114,61,15,74,668,45,158,78,3,12
Hódmezővásárhely,Csongrád,Megyei jogú város,50,35880,18620,2,18614,99,18515,1295,528,1616,8976,1718,2971,913,83,415
Királyhegyes,Csongrád,Község,2,478,240,0,240,2,238,6,5,12,186,4,16,7,1,1
Kistelek,Csongrád,Város,6,6002,2177,0,2177,20,2157,140,40,147,1257,157,234,127,10,45
Kiszombor,Csongrád,Község,4,3167,1192,0,1192,5,1187,87,37,80,640,77,185,63,5,13
Klárafalva,Csongrád,Község,1,426,142,0,142,0,142,19,2,18,80,7,11,5,0,0
Kövegy,Csongrád,Község,1,334,191,0,191,0,191,5,7,11,148,3,10,7,0,0
Kübekháza,Csongrád,Község,1,1217,408,0,408,3,405,75,13,33,177,17,69,14,0,7
Magyarcsanád,Csongrád,Község,2,1093,431,1,430,1,429,12,4,24,318,9,36,14,9,3
Makó,Csongrád,Város,23,18867,8741,1,8738,62,8676,486,172,590,4941,563,1375,377,44,128
Maroslele,Csongrád,Község,3,1668,677,0,677,3,674,28,13,36,451,35,67,32,3,9
Mártély,Csongrád,Község,2,1041,584,0,584,5,579,26,14,48,346,29,55,40,7,14
Mindszent,Csongrád,Város,5,5451,2019,0,2018,6,2012,70,45,174,1151,78,251,186,15,42
Mórahalom,Csongrád,Város,9,5150,2678,0,2678,19,2659,130,56,83,1659,170,251,266,6,38
Nagyér,Csongrád,Község,1,404,160,0,160,2,158,10,3,15,100,2,18,4,2,4
Nagylak,Csongrád,Község,1,390,184,0,184,1,183,9,3,8,120,4,31,4,1,3
Nagymágocs,Csongrád,Község,5,2366,875,0,875,9,866,35,13,52,507,46,120,77,4,12
Nagytőke,Csongrád,Község,1,354,96,0,96,0,96,5,0,3,65,3,9,11,0,0
Óföldeák,Csongrád,Község,1,406,205,0,205,2,203,11,2,11,131,6,23,13,5,1
Ópusztaszer,Csongrád,Község,4,1579,498,0,498,12,486,26,10,54,259,26,62,26,9,14
Öttömös,Csongrád,Község,2,563,255,0,255,4,251,26,8,20,133,10,36,11,2,5
Pitvaros,Csongrád,Község,2,1131,565,0,565,7,558,49,12,50,294,34,81,23,8,7
Pusztamérges,Csongrád,Község,1,873,348,0,348,2,346,36,6,9,203,16,46,17,2,11
Pusztaszer,Csongrád,Község,2,1171,448,0,448,2,446,39,9,15,293,18,36,20,3,13
Röszke,Csongrád,Község,3,2968,1073,0,1073,14,1059,59,28,36,687,59,109,69,2,10
Ruzsa,Csongrád,Község,2,2065,770,0,770,5,765,33,14,28,539,30,56,55,0,10
Sándorfalva,Csongrád,Város,9,6718,2428,1,2428,19,2409,247,49,137,1063,229,471,158,9,46
Szatymaz,Csongrád,Község,4,4040,1391,0,1391,8,1383,115,52,60,737,85,217,92,6,19
Szeged,Csongrád,Megyei jogú város,108,131450,59744,10,59716,251,59465,11042,2260,1907,24236,7680,8623,2151,179,1387
Szegvár,Csongrád,Község,7,3648,1547,0,1547,14,1533,62,31,152,965,77,135,85,4,22
Székkutas,Csongrád,Község,2,1800,936,0,936,7,929,45,18,90,546,57,108,36,12,17
Szentes,Csongrád,Város,35,22170,9575,0,9574,40,9534,666,259,864,4735,774,1415,560,62,199
Tiszasziget,Csongrád,Község,2,1494,647,0,647,6,641,73,13,20,373,33,75,39,3,12
Tömörkény,Csongrád,Község,2,1420,481,0,481,4,477,32,9,28,291,19,66,22,5,5
Újszentiván,Csongrád,Község,2,1570,702,0,702,6,696,97,28,21,348,65,73,41,4,19
Üllés,Csongrád,Község,3,2560,989,1,988,7,981,50,36,57,620,66,79,52,3,18
Zákányszék,Csongrád,Község,2,2289,995,0,995,6,989,41,20,23,731,49,51,58,1,15
Zsombó,Csongrád,Község,3,2859,1174,0,1174,2,1172,99,38,64,588,146,151,65,1,20
Aba,Fejér,Város,5,3712,1149,0,1148,7,1141,56,18,105,712,51,134,52,2,11
Adony,Fejér,Város,3,3190,1170,2,1168,6,1162,60,35,125,592,70,220,36,6,18
Alap,Fejér,Község,2,1503,473,0,473,0,473,13,8,33,336,17,45,13,3,5
Alcsútdoboz,Fejér,Község,2,1166,600,0,599,6,593,18,16,16,464,22,37,9,1,10
Alsószentiván,Fejér,Község,1,483,169,0,169,0,169,5,2,14,109,3,33,3,0,0
Bakonycsernye,Fejér,Község,3,2556,1086,0,1086,9,1077,43,18,81,669,63,125,54,4,20
Bakonykúti,Fejér,Község,1,129,74,0,74,0,74,7,4,2,29,13,10,6,0,3
Balinka,Fejér,Község,2,767,325,0,325,1,324,14,13,17,198,19,39,20,0,4
Baracs,Fejér,Község,4,2901,1177,0,1177,7,1170,47,23,99,536,84,291,57,2,31
Baracska,Fejér,Község,3,2261,937,0,937,4,933,49,22,50,568,66,111,43,8,16
Beloiannisz,Fejér,Község,1,908,335,0,335,6,329,21,12,22,145,33,73,9,7,7
Besnyő,Fejér,Község,2,1456,480,0,480,6,474,19,18,39,252,26,87,13,6,14
Bicske,Fejér,Város,8,9127,4294,0,4294,21,4273,198,105,234,2480,445,581,140,9,81
Bodajk,Fejér,Város,4,3267,1527,0,1527,9,1518,39,43,121,898,126,175,89,6,21
Bodmér,Fejér,Község,1,203,130,0,130,1,129,8,3,15,67,11,15,8,0,2
Cece,Fejér,Község,3,2091,775,0,775,3,772,15,4,40,607,25,44,27,3,7
Csabdi,Fejér,Község,2,1022,499,0,499,3,496,13,15,28,354,42,25,10,2,7
Csákberény,Fejér,Község,1,963,474,0,474,3,471,17,10,33,318,25,27,22,1,18
Csákvár,Fejér,Város,5,4342,1991,0,1991,12,1979,118,56,114,1249,147,202,55,7,31
Csókakő,Fejér,Község,1,1195,669,0,669,5,664,26,25,40,407,46,70,37,1,12
Csór,Fejér,Község,2,1510,604,0,604,8,596,32,16,31,389,32,65,19,2,10
Csősz,Fejér,Község,1,815,244,0,244,1,243,9,4,28,145,7,25,20,2,3
Daruszentmiklós,Fejér,Község,2,1005,340,3,337,5,332,15,5,25,217,14,43,6,3,4
Dég,Fejér,Község,2,1790,545,1,544,7,537,28,6,16,398,19,41,20,4,5
Dunaújváros,Fejér,Megyei jogú város,47,37475,16565,1,16559,79,16480,1087,359,1881,6683,1607,3987,510,93,273
Előszállás,Fejér,Község,3,1883,649,0,649,3,646,24,8,58,389,39,85,33,1,9
Enying,Fejér,Város,8,5396,1681,0,1681,10,1671,86,22,158,930,76,214,150,14,21
Ercsi,Fejér,Város,8,6532,2430,0,2430,20,2410,114,51,170,1303,182,444,96,12,38
Etyek,Fejér,Község,4,3364,1519,0,1519,6,1513,109,36,60,780,220,220,37,4,47
Fehérvárcsurgó,Fejér,Község,2,1662,703,0,703,4,699,23,16,57,439,33,75,32,8,16
Felcsút,Fejér,Község,2,1505,860,0,860,6,854,26,15,22,634,65,62,17,2,11
Füle,Fejér,Község,1,734,307,0,307,0,307,10,9,38,180,25,29,9,1,6
Gánt,Fejér,Község,1,508,266,0,266,2,264,9,6,25,165,22,19,12,1,5
Gárdony,Fejér,Város,8,9645,4724,2,4721,15,4706,303,196,237,2259,506,917,155,13,120
Gyúró,Fejér,Község,1,1022,480,0,480,2,478,20,19,27,274,45,46,32,4,11
Hantos,Fejér,Község,1,772,251,0,251,3,248,20,7,31,125,10,27,21,1,6
Igar,Fejér,Község,3,777,228,0,228,3,225,7,1,26,148,5,26,11,0,1
Iszkaszentgyörgy,Fejér,Község,2,1710,730,0,729,7,722,33,31,65,355,69,101,33,9,26
Isztimér,Fejér,Község,2,741,333,0,333,4,329,15,12,20,201,29,22,22,0,8
Iváncsa,Fejér,Község,2,2272,755,0,755,7,748,43,21,76,396,39,129,29,2,13
Jenő,Fejér,Község,1,1070,397,2,395,4,391,9,5,34,282,13,24,18,0,6
Kajászó,Fejér,Község,1,906,403,0,403,1,402,16,16,38,235,27,33,26,4,7
Káloz,Fejér,Község,2,1912,583,0,583,2,581,15,5,55,395,29,36,36,5,5
Kápolnásnyék,Fejér,Község,4,3120,1500,0,1500,5,1495,64,38,85,768,164,273,53,12,38
Kincsesbánya,Fejér,Község,2,1253,512,0,512,2,510,24,15,49,264,37,82,23,2,14
Kisapostag,Fejér,Község,2,1219,562,0,562,1,561,26,20,49,294,51,90,21,1,9
Kisláng,Fejér,Község,2,1997,437,0,437,2,435,13,6,24,317,16,39,17,0,3
Kőszárhegy,Fejér,Község,2,1279,552,0,552,0,552,22,11,37,307,51,68,36,5,15
Kulcs,Fejér,Község,2,2637,1066,0,1066,3,1063,43,41,116,494,92,215,33,9,20
Lajoskomárom,Fejér,Község,4,1795,646,0,646,2,644,25,17,38,389,37,86,43,3,6
Lepsény,Fejér,Község,3,2526,900,0,900,3,897,36,18,43,580,41,103,62,2,12
Lovasberény,Fejér,Község,3,2210,916,0,916,3,913,33,24,47,610,62,82,32,3,20
Magyaralmás,Fejér,Község,1,1311,641,0,641,5,636,15,8,22,428,61,74,17,1,10
Mány,Fejér,Község,2,1913,833,0,833,3,830,25,15,52,541,69,87,24,1,16
Martonvásár,Fejér,Város,4,4535,2188,0,2188,7,2181,109,81,112,1110,294,332,73,9,61
Mátyásdomb,Fejér,Község,1,584,159,0,159,1,158,6,2,22,81,1,34,8,1,3
Mezőfalva,Fejér,Község,4,3772,1212,0,1211,5,1206,67,17,172,597,66,197,73,1,16
Mezőkomárom,Fejér,Község,1,762,281,0,281,1,280,10,0,23,199,6,28,10,2,2
Mezőszentgyörgy,Fejér,Község,2,1022,261,0,261,2,259,15,5,16,150,8,46,12,2,5
