község_neve_2011,község_jogállása_2011,megye_2011,kistérség_székhelye_2011,terület_hektár_2011,lakónépesség_2011,lakások_száma_2011,fő_per_hektár,fő_per_lakás,önkormányzat_bolgár_2011,önkormányzat_cigány_2011,önkormányzat_görög_2011,önkormányzat_horvát_2011,önkormányzat_lengyel_2011,önkormányzat_német_2011,önkormányzat_örmény_2011,önkormányzat_román_2011,önkormányzat_ruszin_2011,önkormányzat_szerb_2011,önkormányzat_szlovák_2011,önkormányzat_szlovén_2011,önkormányzat_ukrán_2011
Aldebrő,község,Heves,Füzesabony,2178,666,354,0.30578512396694213,1.88135593220339,0,0,0,0,0,1,0,0,0,0,0,0,0
Algyő,nagyközség,Csongrád,Szeged,7577,5204,2032,0.686815362280586,2.561023622047244,0,0,0,0,0,0,0,0,0,0,0,0,0
Alibánfa,község,Zala,Zalaegerszeg,584,465,165,0.7962328767123288,2.8181818181818183,0,0,0,0,0,0,0,0,0,0,0,0,0
Almamellék,község,Baranya,Szigetvár,4433,437,165,0.09857884051432439,2.6484848484848484,0,1,0,0,0,1,0,0,0,0,0,0,0
Almásfüzitő,község,Komárom-Esztergom,Komárom,819,2250,1147,2.7472527472527473,1.961639058413252,0,0,0,0,0,0,0,0,0,0,0,0,0
Almásháza,község,Zala,Zalaszentgrót,498,66,24,0.13253012048192772,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0
Almáskamarás,község,Békés,Mezőkovácsháza,1475,831,465,0.5633898305084746,1.7870967741935484,0,0,0,0,0,1,0,0,0,0,0,0,0
Almáskeresztúr,község,Baranya,Szigetvár,1303,91,54,0.06983883346124328,1.6851851851851851,0,0,0,0,0,0,0,0,0,0,0,0,0
Álmosd,község,Hajdú-Bihar,Létavértes,3413,1550,731,0.45414591268678584,2.1203830369357046,0,1,0,0,0,0,0,0,0,0,0,0,0
Alsóberecki,község,Borsod-Abaúj-Zemplén,Cigánd,686,735,288,1.0714285714285714,2.5520833333333335,0,0,0,0,0,0,0,0,0,0,0,0,0
Alsóbogát,község,Somogy,Kaposvár,1201,259,96,0.21565362198168192,2.6979166666666665,0,0,0,0,0,0,0,0,0,0,0,0,0
Alsódobsza,község,Borsod-Abaúj-Zemplén,Szerencs,1068,316,164,0.2958801498127341,1.9268292682926829,0,0,0,0,0,0,0,0,0,0,0,0,0
Alsógagy,község,Borsod-Abaúj-Zemplén,Encs,628,96,56,0.15286624203821655,1.7142857142857142,0,0,0,0,0,0,0,0,0,0,0,0,0
Alsómocsolád,község,Baranya,Sásd,1300,337,140,0.2592307692307692,2.407142857142857,0,1,0,0,0,1,0,0,0,0,0,0,0
Alsónána,község,Tolna,Szekszárd,1314,687,280,0.5228310502283106,2.4535714285714287,0,0,0,0,0,0,0,0,0,0,0,0,0
Alsónémedi,nagyközség,Pest,Gyál,4907,5186,2075,1.0568575504381497,2.499277108433735,0,0,0,0,0,0,1,0,0,0,0,0,0
Alsónemesapáti,község,Zala,Zalaegerszeg,1451,721,289,0.4968986905582357,2.4948096885813147,0,1,0,0,0,0,0,0,0,0,0,0,0
Alsónyék,község,Tolna,Szekszárd,3204,754,307,0.23533083645443195,2.456026058631922,0,0,0,0,0,0,0,0,0,0,0,0,0
Alsóörs,község,Veszprém,Balatonalmádi,3334,1401,683,0.42021595680863827,2.0512445095168377,0,0,0,0,0,0,0,0,0,0,0,0,0
Alsópáhok,község,Zala,Hévíz,1802,1315,599,0.7297447280799112,2.1953255425709517,0,0,0,0,0,0,0,0,0,0,0,0,0
Alsópetény,község,Nógrád,Rétság,1968,703,315,0.35721544715447157,2.231746031746032,0,1,0,0,0,0,0,0,0,0,1,0,0
Alsórajk,község,Zala,Pacsa,845,354,175,0.41893491124260357,2.0228571428571427,0,0,0,0,0,0,0,0,0,0,0,0,0
Alsóregmec,község,Borsod-Abaúj-Zemplén,Sátoraljaújhely,1539,190,92,0.12345679012345678,2.0652173913043477,0,0,0,0,0,0,0,0,0,0,1,0,0
Alsószenterzsébet,község,Zala,Lenti,963,72,40,0.07476635514018691,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0
Alsószentiván,község,Fejér,Sárbogárd,3965,614,289,0.15485498108448928,2.124567474048443,0,0,0,0,0,0,0,0,0,0,0,0,0
Alsószentmárton,község,Baranya,Siklós,1361,1186,311,0.8714180749448934,3.8135048231511255,0,1,0,0,0,0,0,0,0,0,0,0,0
Alsószölnök,község,Vas,Szentgotthárd,1002,373,171,0.3722554890219561,2.181286549707602,0,0,0,0,0,1,0,0,0,0,0,1,0
Alsószuha,község,Borsod-Abaúj-Zemplén,Kazincbarcika,2242,467,187,0.20829616413916147,2.4973262032085564,0,1,0,0,0,0,0,0,0,0,0,0,0
Alsótelekes,község,Borsod-Abaúj-Zemplén,Kazincbarcika,644,145,93,0.2251552795031056,1.5591397849462365,0,0,0,0,0,0,0,0,0,0,0,0,0
Alsótold,község,Nógrád,Pásztó,786,244,109,0.3104325699745547,2.238532110091743,0,0,0,0,0,0,0,0,0,0,0,0,0
Alsóújlak,község,Vas,Vasvár,2102,572,308,0.2721217887725975,1.8571428571428572,0,0,0,0,0,0,0,0,0,0,0,0,0
Alsóvadász,község,Borsod-Abaúj-Zemplén,Szikszó,2290,1552,454,0.6777292576419214,3.4185022026431717,0,0,0,0,0,0,0,0,0,0,0,0,0
Alsózsolca,város,Borsod-Abaúj-Zemplén,Miskolc,2602,5977,1846,2.297079169869331,3.2378114842903574,0,1,0,0,0,0,0,0,0,0,0,0,0
Ambrózfalva,község,Csongrád,Makó,1122,488,247,0.43493761140819964,1.9757085020242915,0,0,0,0,0,0,0,0,0,0,1,0,0
Anarcs,község,Szabolcs-Szatmár-Bereg,Kisvárda,1706,1934,682,1.1336459554513483,2.835777126099707,0,1,0,0,0,0,0,0,0,0,0,0,0
Andocs,község,Somogy,Tab,4327,1089,477,0.2516755257684308,2.2830188679245285,0,0,0,0,0,0,0,0,0,0,0,0,0
Andornaktálya,község,Heves,Eger,1675,2741,1030,1.6364179104477612,2.6611650485436895,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrásfa,község,Vas,Vasvár,823,268,146,0.32563791008505466,1.8356164383561644,0,0,0,0,0,0,0,0,0,0,0,0,0
Annavölgy,község,Komárom-Esztergom,Dorog,460,933,402,2.0282608695652176,2.3208955223880596,0,0,0,0,0,0,0,0,0,0,0,0,0
Apácatorna,község,Veszprém,Devecser,729,151,85,0.20713305898491083,1.776470588235294,0,0,0,0,0,0,0,0,0,0,0,0,0
Apagy,község,Szabolcs-Szatmár-Bereg,Baktalórántháza,3204,2191,873,0.6838327091136079,2.5097365406643757,0,0,0,0,0,0,0,0,0,0,0,0,0
Apaj,község,Pest,Ráckeve,7104,1228,441,0.17286036036036037,2.7845804988662133,0,0,0,0,0,0,0,0,0,0,0,0,0
Aparhant,község,Tolna,Bonyhád,1796,1026,385,0.5712694877505567,2.664935064935065,0,0,0,0,0,0,0,0,0,0,0,0,0
Apátfalva,község,Csongrád,Makó,5378,2998,1599,0.5574563034585348,1.8749218261413383,0,1,0,0,0,0,0,1,0,0,0,0,0
Apátistvánfalva,község,Vas,Szentgotthárd,1286,356,165,0.27682737169517885,2.1575757575757577,0,0,0,0,0,0,0,0,0,0,0,1,0
Apátvarasd,község,Baranya,Pécsvárad,814,127,42,0.15601965601965603,3.0238095238095237,0,0,0,0,0,0,0,0,0,0,0,0,0
Apc,község,Heves,Hatvan,2046,2593,1106,1.2673509286412512,2.344484629294756,0,0,0,0,0,0,0,0,0,0,0,0,0
Áporka,község,Pest,Ráckeve,1747,1171,487,0.6702919290211792,2.404517453798768,0,0,0,0,0,0,0,0,0,0,0,0,0
Apostag,község,Bács-Kiskun,Kunszentmiklós,3194,1956,975,0.6123982467125861,2.006153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0
Aranyosapáti,község,Szabolcs-Szatmár-Bereg,Vásárosnamény,2111,1988,711,0.9417337754618664,2.79606188466948,0,1,0,0,0,0,0,0,0,0,0,0,0
Aranyosgadány,község,Baranya,Pécs,826,326,136,0.3946731234866828,2.3970588235294117,0,1,0,1,0,1,0,0,0,0,0,0,0
Arka,község,Borsod-Abaúj-Zemplén,Gönc,953,90,67,0.0944386149003148,1.3432835820895523,0,0,0,0,0,0,0,0,0,0,0,0,0
Arló,nagyközség,Borsod-Abaúj-Zemplén,Ózd,4687,3656,1171,0.7800298698527843,3.1221178479931684,0,1,0,0,0,0,0,0,0,0,0,0,0
Arnót,község,Borsod-Abaúj-Zemplén,Miskolc,1754,2583,809,1.4726339794754846,3.19283065512979,0,1,0,0,0,0,0,0,0,0,0,0,0
Ároktő,község,Borsod-Abaúj-Zemplén,Mezőcsát,4641,1073,529,0.23120017237664298,2.0283553875236295,0,1,0,0,0,0,0,0,0,0,0,0,0
Árpádhalom,község,Csongrád,Szentes,4520,489,259,0.1081858407079646,1.888030888030888,0,0,0,0,0,0,0,0,0,0,0,0,0
Árpás,község,Győr-Moson-Sopron,Tét,1427,242,129,0.1695865451997197,1.875968992248062,0,0,0,0,0,0,0,0,0,0,0,0,0
Ártánd,község,Hajdú-Bihar,Berettyóújfalu,1982,510,241,0.25731584258324924,2.116182572614108,0,0,0,0,0,0,0,0,0,0,0,0,0
Ásotthalom,község,Csongrád,Mórahalom,12254,4023,2001,0.3283009629508732,2.0104947526236883,0,0,0,0,0,0,0,0,0,0,0,0,0
Ásványráró,község,Győr-Moson-Sopron,Mosonmagyaróvár,3916,1871,818,0.4777834525025536,2.2872860635696823,0,0,0,0,0,0,0,0,0,0,0,0,0
Aszaló,község,Borsod-Abaúj-Zemplén,Szikszó,2540,1902,643,0.7488188976377953,2.95800933125972,0,1,0,0,0,0,0,0,0,0,0,0,0
Ászár,község,Komárom-Esztergom,Kisbér,1868,1983,709,1.0615631691648821,2.7968970380818052,0,1,0,0,0,0,0,0,0,0,0,0,0
Aszód,város,Pest,Aszód,1620,6395,2437,3.947530864197531,2.6241280262617974,0,0,0,0,0,0,0,0,1,0,0,0,0
Aszófő,község,Veszprém,Balatonfüred,832,399,168,0.4795673076923077,2.375,0,0,0,0,0,0,0,0,0,0,0,0,0
Áta,község,Baranya,Pécs,809,177,92,0.21878862793572312,1.923913043478261,0,0,0,0,0,0,0,0,0,0,0,0,0
Átány,község,Heves,Heves,5044,1341,587,0.26586042823156225,2.2844974446337307,0,1,0,0,0,0,0,0,0,0,0,0,0
Atkár,község,Heves,Gyöngyös,3376,1730,728,0.5124407582938388,2.3763736263736264,0,0,0,0,0,0,0,0,0,0,0,0,0
Attala,község,Tolna,Dombóvár,2064,840,379,0.4069767441860465,2.216358839050132,0,0,0,0,0,0,0,0,0,0,0,0,0
Babarc,község,Baranya,Mohács,1885,728,327,0.38620689655172413,2.2262996941896023,0,0,0,0,0,1,0,0,0,0,0,0,0
Babarcszőlős,község,Baranya,Siklós,425,108,64,0.2541176470588235,1.6875,0,1,0,0,0,0,0,0,0,0,0,0,0
Babócsa,község,Somogy,Barcs,3099,1547,711,0.49919328815747016,2.1758087201125176,0,1,0,0,0,0,0,0,0,0,0,0,0
Bábolna,város,Komárom-Esztergom,Komárom,3355,3630,1369,1.0819672131147542,2.651570489408327,0,0,0,0,0,0,0,0,0,0,0,0,0
